Student S10025 named Alexander Campbell, age 12, gender Female, is in Class 9. Scored 56 in Math, 39 in Science, 58 in English, 58 in History, and 39 in Computer, totaling 250 marks with Grade D. Attendance stands at 71.01 percent. Participates in Debate as an extracurricular activity.
Student S11106 named Tony Garcia, age 15, gender Male, is in Class 9. Scored 88 in Math, 41 in Science, 63 in English, 40 in History, and 93 in Computer, totaling 325 marks with Grade C. Attendance stands at 60.93 percent. Participates in Drama as an extracurricular activity.
Student S11115 named Kristin Turner, age 14, gender Male, is in Class 9. Scored 71 in Math, 48 in Science, 65 in English, 74 in History, and 56 in Computer, totaling 314 marks with Grade C. Attendance stands at 63.25 percent. Participates in Dance as an extracurricular activity.
Student S11121 named Mary Skinner, age 17, gender Female, is in Class 9. Scored 63 in Math, 46 in Science, 61 in English, 59 in History, and 45 in Computer, totaling 274 marks with Grade D. Attendance stands at 91.26 percent. Participates in Music as an extracurricular activity.
Student S11126 named Alexander Davis, age 13, gender Male, is in Class 9. Scored 65 in Math, 69 in Science, 53 in English, 41 in History, and 31 in Computer, totaling 259 marks with Grade D. Attendance stands at 88.04 percent. Participates in Debate as an extracurricular activity.
Student S11133 named Jesse Mcknight, age 12, gender Male, is in Class 9. Scored 42 in Math, 75 in Science, 71 in English, 40 in History, and 99 in Computer, totaling 327 marks with Grade C. Attendance stands at 75.55 percent. Participates in Drama as an extracurricular activity.
Student S11135 named Valerie Johnson, age 13, gender Male, is in Class 9. Scored 44 in Math, 71 in Science, 89 in English, 45 in History, and 59 in Computer, totaling 308 marks with Grade C. Attendance stands at 91.95 percent. Participates in Football as an extracurricular activity.
Student S11137 named Carla Moore, age 10, gender Male, is in Class 9. Scored 47 in Math, 44 in Science, 38 in English, 61 in History, and 37 in Computer, totaling 227 marks with Grade D. Attendance stands at 81.40 percent. Participates in Drama as an extracurricular activity.
Student S11141 named Matthew Black, age 14, gender Male, is in Class 9. Scored 40 in Math, 43 in Science, 70 in English, 92 in History, and 40 in Computer, totaling 285 marks with Grade D. Attendance stands at 66.30 percent. Participates in Drama as an extracurricular activity.
Student S11146 named Diane Rocha, age 10, gender Female, is in Class 9. Scored 99 in Math, 68 in Science, 78 in English, 52 in History, and 47 in Computer, totaling 344 marks with Grade C. Attendance stands at 69.75 percent. Participates in Drama as an extracurricular activity.
Student S11151 named Matthew Diaz MD, age 17, gender Male, is in Class 9. Scored 41 in Math, 37 in Science, 81 in English, 52 in History, and 82 in Computer, totaling 293 marks with Grade D. Attendance stands at 64.60 percent. Participates in Music as an extracurricular activity.
Student S11153 named Teresa Conley, age 17, gender Male, is in Class 9. Scored 39 in Math, 69 in Science, 39 in English, 75 in History, and 67 in Computer, totaling 289 marks with Grade D. Attendance stands at 76.27 percent. Participates in Dance as an extracurricular activity.
Student S11167 named Laura Jennings, age 10, gender Female, is in Class 9. Scored 43 in Math, 96 in Science, 97 in English, 67 in History, and 42 in Computer, totaling 345 marks with Grade C. Attendance stands at 83.33 percent. Participates in Debate as an extracurricular activity.
Student S11179 named Ms. Stephanie Mooney, age 12, gender Male, is in Class 9. Scored 33 in Math, 76 in Science, 64 in English, 77 in History, and 59 in Computer, totaling 309 marks with Grade C. Attendance stands at 77.19 percent. Participates in Football as an extracurricular activity.
Student S11189 named Mason Williams, age 16, gender Male, is in Class 9. Scored 84 in Math, 78 in Science, 64 in English, 97 in History, and 97 in Computer, totaling 420 marks with Grade B. Attendance stands at 96.47 percent. Participates in Football as an extracurricular activity.
Student S11195 named Barbara Ramirez, age 14, gender Male, is in Class 9. Scored 46 in Math, 72 in Science, 59 in English, 92 in History, and 83 in Computer, totaling 352 marks with Grade C. Attendance stands at 66.83 percent. Participates in Football as an extracurricular activity.
Student S11199 named Christopher Wallace, age 15, gender Male, is in Class 9. Scored 35 in Math, 65 in Science, 87 in English, 46 in History, and 45 in Computer, totaling 278 marks with Grade D. Attendance stands at 98.19 percent. Participates in Dance as an extracurricular activity.
Student S11241 named Sarah Banks, age 17, gender Male, is in Class 9. Scored 84 in Math, 99 in Science, 82 in English, 39 in History, and 49 in Computer, totaling 353 marks with Grade C. Attendance stands at 72.54 percent. Participates in None as an extracurricular activity.
Student S11243 named Dylan Fernandez, age 13, gender Male, is in Class 9. Scored 35 in Math, 52 in Science, 84 in English, 97 in History, and 57 in Computer, totaling 325 marks with Grade C. Attendance stands at 84.92 percent. Participates in Debate as an extracurricular activity.
Student S11248 named Sarah Moses, age 17, gender Female, is in Class 9. Scored 80 in Math, 56 in Science, 40 in English, 36 in History, and 98 in Computer, totaling 310 marks with Grade C. Attendance stands at 69.95 percent. Participates in Debate as an extracurricular activity.
Student S11249 named Joseph Jones, age 15, gender Male, is in Class 9. Scored 98 in Math, 91 in Science, 43 in English, 76 in History, and 54 in Computer, totaling 362 marks with Grade C. Attendance stands at 86.98 percent. Participates in Football as an extracurricular activity.
Student S11251 named Adam Briggs, age 14, gender Female, is in Class 9. Scored 82 in Math, 45 in Science, 31 in English, 35 in History, and 32 in Computer, totaling 225 marks with Grade D. Attendance stands at 92.36 percent. Participates in Dance as an extracurricular activity.
Student S11255 named Jodi Martin, age 14, gender Female, is in Class 9. Scored 65 in Math, 35 in Science, 55 in English, 74 in History, and 35 in Computer, totaling 264 marks with Grade D. Attendance stands at 83.72 percent. Participates in None as an extracurricular activity.
Student S11256 named Eric Lewis, age 14, gender Female, is in Class 9. Scored 82 in Math, 33 in Science, 43 in English, 95 in History, and 60 in Computer, totaling 313 marks with Grade C. Attendance stands at 61.23 percent. Participates in Football as an extracurricular activity.
Student S11263 named Roberta Wagner, age 17, gender Male, is in Class 9. Scored 53 in Math, 52 in Science, 67 in English, 36 in History, and 81 in Computer, totaling 289 marks with Grade D. Attendance stands at 64.41 percent. Participates in Music as an extracurricular activity.
Student S11265 named Mary Lowery, age 10, gender Male, is in Class 9. Scored 77 in Math, 57 in Science, 30 in English, 42 in History, and 47 in Computer, totaling 253 marks with Grade D. Attendance stands at 91.95 percent. Participates in Drama as an extracurricular activity.
Student S11273 named Mary Skinner, age 14, gender Female, is in Class 9. Scored 44 in Math, 79 in Science, 82 in English, 35 in History, and 60 in Computer, totaling 300 marks with Grade D. Attendance stands at 96.15 percent. Participates in Drama as an extracurricular activity.
Student S11274 named Ryan Hamilton, age 10, gender Female, is in Class 9. Scored 80 in Math, 51 in Science, 38 in English, 60 in History, and 30 in Computer, totaling 259 marks with Grade D. Attendance stands at 99.66 percent. Participates in Debate as an extracurricular activity.
Student S11275 named Jill Villanueva, age 13, gender Female, is in Class 9. Scored 73 in Math, 68 in Science, 69 in English, 95 in History, and 76 in Computer, totaling 381 marks with Grade C. Attendance stands at 69.32 percent. Participates in Dance as an extracurricular activity.
Student S11284 named Eric Anderson, age 17, gender Female, is in Class 9. Scored 30 in Math, 59 in Science, 99 in English, 70 in History, and 30 in Computer, totaling 288 marks with Grade D. Attendance stands at 77.58 percent. Participates in Football as an extracurricular activity.
Student S11289 named Paul Sanchez, age 12, gender Female, is in Class 9. Scored 39 in Math, 49 in Science, 37 in English, 46 in History, and 32 in Computer, totaling 203 marks with Grade D. Attendance stands at 91.73 percent. Participates in Debate as an extracurricular activity.
Student S11290 named Deborah Sellers, age 11, gender Female, is in Class 9. Scored 37 in Math, 36 in Science, 72 in English, 67 in History, and 93 in Computer, totaling 305 marks with Grade C. Attendance stands at 74.77 percent. Participates in None as an extracurricular activity.
Student S11292 named Sarah Morgan, age 12, gender Male, is in Class 9. Scored 43 in Math, 79 in Science, 34 in English, 70 in History, and 96 in Computer, totaling 322 marks with Grade C. Attendance stands at 74.24 percent. Participates in Football as an extracurricular activity.
Student S11297 named Marcus Walls, age 12, gender Female, is in Class 9. Scored 30 in Math, 78 in Science, 87 in English, 63 in History, and 86 in Computer, totaling 344 marks with Grade C. Attendance stands at 74.71 percent. Participates in Music as an extracurricular activity.
Student S11298 named Sergio Summers, age 15, gender Female, is in Class 9. Scored 38 in Math, 47 in Science, 83 in English, 75 in History, and 60 in Computer, totaling 303 marks with Grade C. Attendance stands at 61.06 percent. Participates in Music as an extracurricular activity.
Student S11311 named Debra Hayden DDS, age 16, gender Female, is in Class 9. Scored 91 in Math, 83 in Science, 58 in English, 61 in History, and 96 in Computer, totaling 389 marks with Grade C. Attendance stands at 76.17 percent. Participates in None as an extracurricular activity.
Student S11318 named Leslie Hansen, age 15, gender Male, is in Class 9. Scored 60 in Math, 57 in Science, 47 in English, 56 in History, and 93 in Computer, totaling 313 marks with Grade C. Attendance stands at 95.05 percent. Participates in Debate as an extracurricular activity.
Student S11326 named Christina Jones, age 11, gender Female, is in Class 9. Scored 63 in Math, 74 in Science, 85 in English, 54 in History, and 31 in Computer, totaling 307 marks with Grade C. Attendance stands at 78.77 percent. Participates in Football as an extracurricular activity.
Student S11327 named Michael Boyle, age 13, gender Male, is in Class 9. Scored 72 in Math, 63 in Science, 89 in English, 45 in History, and 34 in Computer, totaling 303 marks with Grade C. Attendance stands at 73.41 percent. Participates in Dance as an extracurricular activity.
Student S11340 named Jeffrey Brown, age 12, gender Male, is in Class 9. Scored 33 in Math, 85 in Science, 86 in English, 57 in History, and 83 in Computer, totaling 344 marks with Grade C. Attendance stands at 67.57 percent. Participates in Football as an extracurricular activity.
Student S11341 named Ashley Moore, age 17, gender Female, is in Class 9. Scored 96 in Math, 49 in Science, 39 in English, 86 in History, and 67 in Computer, totaling 337 marks with Grade C. Attendance stands at 64.06 percent. Participates in Drama as an extracurricular activity.
