Student S10002 named Christopher Taylor, age 17, gender Male, is in Class 7. Scored 71 in Math, 59 in Science, 30 in English, 88 in History, and 94 in Computer, totaling 342 marks with Grade C. Attendance stands at 71.95 percent. Participates in Music as an extracurricular activity.
Student S11016 named Charles Pruitt, age 16, gender Female, is in Class 7. Scored 65 in Math, 90 in Science, 64 in English, 95 in History, and 67 in Computer, totaling 381 marks with Grade C. Attendance stands at 71.50 percent. Participates in Debate as an extracurricular activity.
Student S11035 named Sandy Roberts, age 11, gender Female, is in Class 7. Scored 31 in Math, 71 in Science, 79 in English, 59 in History, and 41 in Computer, totaling 281 marks with Grade D. Attendance stands at 83.48 percent. Participates in Music as an extracurricular activity.
Student S11040 named Samantha Rice, age 12, gender Female, is in Class 7. Scored 65 in Math, 84 in Science, 46 in English, 63 in History, and 39 in Computer, totaling 297 marks with Grade D. Attendance stands at 68.15 percent. Participates in Dance as an extracurricular activity.
Student S11049 named Mitchell Edwards, age 10, gender Female, is in Class 7. Scored 79 in Math, 72 in Science, 37 in English, 32 in History, and 82 in Computer, totaling 302 marks with Grade C. Attendance stands at 82.64 percent. Participates in Debate as an extracurricular activity.
Student S11055 named Lisa Patterson, age 12, gender Male, is in Class 7. Scored 88 in Math, 57 in Science, 81 in English, 58 in History, and 50 in Computer, totaling 334 marks with Grade C. Attendance stands at 95.12 percent. Participates in Music as an extracurricular activity.
Student S11058 named Christopher Young, age 13, gender Male, is in Class 7. Scored 67 in Math, 59 in Science, 65 in English, 49 in History, and 33 in Computer, totaling 273 marks with Grade D. Attendance stands at 62.31 percent. Participates in Football as an extracurricular activity.
Student S11086 named Terri Johnson, age 13, gender Female, is in Class 7. Scored 63 in Math, 68 in Science, 58 in English, 53 in History, and 47 in Computer, totaling 289 marks with Grade D. Attendance stands at 86.94 percent. Participates in None as an extracurricular activity.
Student S11088 named Daniel Anderson, age 11, gender Male, is in Class 7. Scored 50 in Math, 77 in Science, 37 in English, 89 in History, and 94 in Computer, totaling 347 marks with Grade C. Attendance stands at 66.54 percent. Participates in Dance as an extracurricular activity.
Student S11089 named Keith Johnson, age 15, gender Female, is in Class 7. Scored 73 in Math, 50 in Science, 99 in English, 72 in History, and 47 in Computer, totaling 341 marks with Grade C. Attendance stands at 86.43 percent. Participates in Music as an extracurricular activity.
Student S11097 named Garrett Mathis, age 15, gender Female, is in Class 7. Scored 82 in Math, 83 in Science, 88 in English, 65 in History, and 73 in Computer, totaling 391 marks with Grade C. Attendance stands at 76.02 percent. Participates in None as an extracurricular activity.
Student S11100 named Ryan Allen, age 13, gender Male, is in Class 7. Scored 93 in Math, 78 in Science, 40 in English, 82 in History, and 30 in Computer, totaling 323 marks with Grade C. Attendance stands at 81.15 percent. Participates in Football as an extracurricular activity.
Student S11102 named Michael Vance, age 10, gender Female, is in Class 7. Scored 67 in Math, 86 in Science, 77 in English, 90 in History, and 31 in Computer, totaling 351 marks with Grade C. Attendance stands at 80.35 percent. Participates in Football as an extracurricular activity.
Student S11110 named Ashlee Ryan, age 13, gender Male, is in Class 7. Scored 71 in Math, 30 in Science, 63 in English, 77 in History, and 54 in Computer, totaling 295 marks with Grade D. Attendance stands at 86.63 percent. Participates in Debate as an extracurricular activity.
Student S11113 named Julie Baker, age 14, gender Male, is in Class 7. Scored 34 in Math, 44 in Science, 81 in English, 42 in History, and 32 in Computer, totaling 233 marks with Grade D. Attendance stands at 86.50 percent. Participates in Football as an extracurricular activity.
Student S11118 named Wayne Cook, age 13, gender Male, is in Class 7. Scored 37 in Math, 92 in Science, 47 in English, 36 in History, and 40 in Computer, totaling 252 marks with Grade D. Attendance stands at 70.55 percent. Participates in Music as an extracurricular activity.
Student S11119 named Jacob Henry, age 13, gender Female, is in Class 7. Scored 79 in Math, 59 in Science, 63 in English, 58 in History, and 86 in Computer, totaling 345 marks with Grade C. Attendance stands at 73.12 percent. Participates in Drama as an extracurricular activity.
Student S11120 named Jesse Lucero, age 16, gender Female, is in Class 7. Scored 85 in Math, 45 in Science, 52 in English, 35 in History, and 88 in Computer, totaling 305 marks with Grade C. Attendance stands at 87.95 percent. Participates in Football as an extracurricular activity.
Student S11124 named Susan Roberts, age 11, gender Female, is in Class 7. Scored 49 in Math, 50 in Science, 59 in English, 42 in History, and 81 in Computer, totaling 281 marks with Grade D. Attendance stands at 81.68 percent. Participates in Football as an extracurricular activity.
Student S11128 named Debbie Smith, age 10, gender Male, is in Class 7. Scored 40 in Math, 62 in Science, 73 in English, 75 in History, and 69 in Computer, totaling 319 marks with Grade C. Attendance stands at 83.56 percent. Participates in Debate as an extracurricular activity.
Student S11142 named Julian Mcdonald, age 17, gender Female, is in Class 7. Scored 46 in Math, 59 in Science, 60 in English, 88 in History, and 85 in Computer, totaling 338 marks with Grade C. Attendance stands at 95.26 percent. Participates in Dance as an extracurricular activity.
Student S11145 named Lauren Sparks, age 16, gender Female, is in Class 7. Scored 95 in Math, 38 in Science, 68 in English, 57 in History, and 63 in Computer, totaling 321 marks with Grade C. Attendance stands at 64.58 percent. Participates in Dance as an extracurricular activity.
Student S11150 named Christina Frazier, age 12, gender Female, is in Class 7. Scored 73 in Math, 65 in Science, 97 in English, 88 in History, and 74 in Computer, totaling 397 marks with Grade C. Attendance stands at 83.26 percent. Participates in Football as an extracurricular activity.
Student S11165 named Eric Estrada, age 14, gender Female, is in Class 7. Scored 32 in Math, 77 in Science, 61 in English, 36 in History, and 54 in Computer, totaling 260 marks with Grade D. Attendance stands at 61.22 percent. Participates in Music as an extracurricular activity.
Student S11166 named Dr. Mandy Young MD, age 16, gender Male, is in Class 7. Scored 38 in Math, 68 in Science, 58 in English, 31 in History, and 30 in Computer, totaling 225 marks with Grade D. Attendance stands at 91.03 percent. Participates in Music as an extracurricular activity.
Student S11171 named Danielle Black, age 14, gender Female, is in Class 7. Scored 83 in Math, 37 in Science, 39 in English, 73 in History, and 93 in Computer, totaling 325 marks with Grade C. Attendance stands at 65.41 percent. Participates in Music as an extracurricular activity.
Student S11176 named Aaron Richardson, age 16, gender Male, is in Class 7. Scored 76 in Math, 34 in Science, 99 in English, 68 in History, and 71 in Computer, totaling 348 marks with Grade C. Attendance stands at 79.00 percent. Participates in Drama as an extracurricular activity.
Student S11178 named Robert Warner, age 16, gender Male, is in Class 7. Scored 88 in Math, 95 in Science, 56 in English, 95 in History, and 56 in Computer, totaling 390 marks with Grade C. Attendance stands at 70.69 percent. Participates in Music as an extracurricular activity.
Student S11183 named Craig Anderson, age 14, gender Male, is in Class 7. Scored 31 in Math, 82 in Science, 52 in English, 72 in History, and 46 in Computer, totaling 283 marks with Grade D. Attendance stands at 89.79 percent. Participates in Football as an extracurricular activity.
Student S11188 named Amy Brady, age 11, gender Male, is in Class 7. Scored 85 in Math, 85 in Science, 97 in English, 30 in History, and 74 in Computer, totaling 371 marks with Grade C. Attendance stands at 80.86 percent. Participates in Debate as an extracurricular activity.
Student S11205 named Donald Diaz, age 14, gender Male, is in Class 7. Scored 92 in Math, 87 in Science, 68 in English, 78 in History, and 36 in Computer, totaling 361 marks with Grade C. Attendance stands at 63.80 percent. Participates in Music as an extracurricular activity.
Student S11209 named Kimberly Hall, age 16, gender Male, is in Class 7. Scored 69 in Math, 91 in Science, 50 in English, 45 in History, and 83 in Computer, totaling 338 marks with Grade C. Attendance stands at 94.65 percent. Participates in Drama as an extracurricular activity.
Student S11211 named Jason Williamson, age 16, gender Female, is in Class 7. Scored 33 in Math, 76 in Science, 59 in English, 93 in History, and 94 in Computer, totaling 355 marks with Grade C. Attendance stands at 72.93 percent. Participates in Music as an extracurricular activity.
Student S11227 named Glenda Malone, age 15, gender Female, is in Class 7. Scored 46 in Math, 40 in Science, 45 in English, 99 in History, and 54 in Computer, totaling 284 marks with Grade D. Attendance stands at 67.85 percent. Participates in Dance as an extracurricular activity.
Student S11234 named Shannon Rogers, age 13, gender Male, is in Class 7. Scored 60 in Math, 67 in Science, 97 in English, 95 in History, and 91 in Computer, totaling 410 marks with Grade B. Attendance stands at 79.67 percent. Participates in Dance as an extracurricular activity.
Student S11237 named Danielle Arellano, age 14, gender Male, is in Class 7. Scored 45 in Math, 68 in Science, 67 in English, 69 in History, and 69 in Computer, totaling 318 marks with Grade C. Attendance stands at 60.29 percent. Participates in Drama as an extracurricular activity.
Student S11244 named Aaron Lang, age 11, gender Male, is in Class 7. Scored 50 in Math, 33 in Science, 30 in English, 49 in History, and 48 in Computer, totaling 210 marks with Grade D. Attendance stands at 74.65 percent. Participates in None as an extracurricular activity.
Student S11260 named George Clark, age 13, gender Male, is in Class 7. Scored 52 in Math, 63 in Science, 54 in English, 93 in History, and 98 in Computer, totaling 360 marks with Grade C. Attendance stands at 92.92 percent. Participates in None as an extracurricular activity.
Student S11261 named Christine Flowers, age 11, gender Female, is in Class 7. Scored 66 in Math, 49 in Science, 49 in English, 52 in History, and 39 in Computer, totaling 255 marks with Grade D. Attendance stands at 82.29 percent. Participates in Debate as an extracurricular activity.
Student S11266 named Dr. Shari Phillips MD, age 11, gender Female, is in Class 7. Scored 95 in Math, 69 in Science, 84 in English, 37 in History, and 54 in Computer, totaling 339 marks with Grade C. Attendance stands at 97.71 percent. Participates in None as an extracurricular activity.
Student S11267 named Victoria Herman DVM, age 15, gender Male, is in Class 7. Scored 49 in Math, 86 in Science, 87 in English, 92 in History, and 42 in Computer, totaling 356 marks with Grade C. Attendance stands at 79.77 percent. Participates in Debate as an extracurricular activity.
