Student S10012 named Joseph Smith, age 12, gender Female, is in Class 10. Scored 83 in Math, 84 in Science, 37 in English, 75 in History, and 87 in Computer, totaling 366 marks with Grade C. Attendance stands at 83.67 percent. Participates in Drama as an extracurricular activity.
Student S10836 named Michelle Payne, age 15, gender Female, is in Class 10. Scored 87 in Math, 59 in Science, 89 in English, 61 in History, and 85 in Computer, totaling 381 marks with Grade C. Attendance stands at 86.29 percent. Participates in Music as an extracurricular activity.
Student S10840 named William Ramsey, age 17, gender Female, is in Class 10. Scored 37 in Math, 43 in Science, 64 in English, 87 in History, and 93 in Computer, totaling 324 marks with Grade C. Attendance stands at 67.48 percent. Participates in Football as an extracurricular activity.
Student S10853 named Jennifer Jones, age 10, gender Female, is in Class 10. Scored 53 in Math, 33 in Science, 99 in English, 72 in History, and 56 in Computer, totaling 313 marks with Grade C. Attendance stands at 98.24 percent. Participates in None as an extracurricular activity.
Student S10860 named Timothy Noble, age 11, gender Female, is in Class 10. Scored 55 in Math, 71 in Science, 98 in English, 82 in History, and 88 in Computer, totaling 394 marks with Grade C. Attendance stands at 60.78 percent. Participates in Dance as an extracurricular activity.
Student S10864 named Natalie Williams, age 10, gender Female, is in Class 10. Scored 38 in Math, 45 in Science, 71 in English, 39 in History, and 49 in Computer, totaling 242 marks with Grade D. Attendance stands at 60.13 percent. Participates in Football as an extracurricular activity.
Student S10874 named Amanda Lee, age 10, gender Male, is in Class 10. Scored 98 in Math, 48 in Science, 99 in English, 66 in History, and 70 in Computer, totaling 381 marks with Grade C. Attendance stands at 99.47 percent. Participates in Music as an extracurricular activity.
Student S10881 named James Morales, age 11, gender Female, is in Class 10. Scored 33 in Math, 49 in Science, 30 in English, 91 in History, and 59 in Computer, totaling 262 marks with Grade D. Attendance stands at 96.19 percent. Participates in Debate as an extracurricular activity.
Student S10906 named William Cochran, age 13, gender Male, is in Class 10. Scored 76 in Math, 73 in Science, 30 in English, 43 in History, and 58 in Computer, totaling 280 marks with Grade D. Attendance stands at 85.86 percent. Participates in Dance as an extracurricular activity.
Student S10907 named Holly Frank, age 13, gender Male, is in Class 10. Scored 97 in Math, 41 in Science, 98 in English, 41 in History, and 74 in Computer, totaling 351 marks with Grade C. Attendance stands at 65.08 percent. Participates in Music as an extracurricular activity.
Student S10921 named Susan Roberts, age 14, gender Female, is in Class 10. Scored 63 in Math, 31 in Science, 34 in English, 40 in History, and 69 in Computer, totaling 237 marks with Grade D. Attendance stands at 60.47 percent. Participates in Dance as an extracurricular activity.
Student S10927 named Bobby Rodgers, age 16, gender Male, is in Class 10. Scored 45 in Math, 34 in Science, 47 in English, 82 in History, and 76 in Computer, totaling 284 marks with Grade D. Attendance stands at 93.81 percent. Participates in Debate as an extracurricular activity.
Student S10933 named William Thomas, age 17, gender Female, is in Class 10. Scored 34 in Math, 96 in Science, 70 in English, 52 in History, and 77 in Computer, totaling 329 marks with Grade C. Attendance stands at 83.16 percent. Participates in Debate as an extracurricular activity.
Student S10935 named Brianna Wong, age 12, gender Female, is in Class 10. Scored 53 in Math, 39 in Science, 60 in English, 47 in History, and 59 in Computer, totaling 258 marks with Grade D. Attendance stands at 91.84 percent. Participates in Football as an extracurricular activity.
Student S10938 named Angel Miller, age 14, gender Female, is in Class 10. Scored 37 in Math, 51 in Science, 33 in English, 42 in History, and 96 in Computer, totaling 259 marks with Grade D. Attendance stands at 99.13 percent. Participates in Dance as an extracurricular activity.
Student S10951 named Kayla Hampton, age 14, gender Male, is in Class 10. Scored 30 in Math, 70 in Science, 45 in English, 33 in History, and 48 in Computer, totaling 226 marks with Grade D. Attendance stands at 62.45 percent. Participates in Music as an extracurricular activity.
Student S10960 named John Gonzalez, age 15, gender Male, is in Class 10. Scored 36 in Math, 88 in Science, 52 in English, 47 in History, and 84 in Computer, totaling 307 marks with Grade C. Attendance stands at 65.03 percent. Participates in Football as an extracurricular activity.
Student S10963 named Cameron Fitzpatrick, age 17, gender Female, is in Class 10. Scored 89 in Math, 91 in Science, 69 in English, 87 in History, and 91 in Computer, totaling 427 marks with Grade B. Attendance stands at 92.96 percent. Participates in Drama as an extracurricular activity.
Student S10969 named Manuel Oconnell, age 16, gender Female, is in Class 10. Scored 31 in Math, 81 in Science, 42 in English, 77 in History, and 85 in Computer, totaling 316 marks with Grade C. Attendance stands at 79.21 percent. Participates in Music as an extracurricular activity.
Student S10972 named Tiffany Gregory, age 14, gender Male, is in Class 10. Scored 84 in Math, 63 in Science, 51 in English, 45 in History, and 67 in Computer, totaling 310 marks with Grade C. Attendance stands at 90.56 percent. Participates in Dance as an extracurricular activity.
Student S10978 named Cynthia Dawson, age 13, gender Female, is in Class 10. Scored 57 in Math, 30 in Science, 60 in English, 67 in History, and 87 in Computer, totaling 301 marks with Grade C. Attendance stands at 71.61 percent. Participates in Debate as an extracurricular activity.
Student S10986 named Darlene Wagner, age 15, gender Female, is in Class 10. Scored 69 in Math, 56 in Science, 72 in English, 32 in History, and 31 in Computer, totaling 260 marks with Grade D. Attendance stands at 66.18 percent. Participates in Football as an extracurricular activity.
Student S11013 named Jennifer Sellers, age 13, gender Female, is in Class 10. Scored 48 in Math, 67 in Science, 83 in English, 88 in History, and 88 in Computer, totaling 374 marks with Grade C. Attendance stands at 83.49 percent. Participates in Music as an extracurricular activity.
Student S11024 named Phillip Dunlap, age 15, gender Male, is in Class 10. Scored 57 in Math, 36 in Science, 35 in English, 99 in History, and 34 in Computer, totaling 261 marks with Grade D. Attendance stands at 72.49 percent. Participates in Debate as an extracurricular activity.
Student S11026 named Dr. Stacey Maddox MD, age 12, gender Male, is in Class 10. Scored 92 in Math, 58 in Science, 47 in English, 32 in History, and 98 in Computer, totaling 327 marks with Grade C. Attendance stands at 76.92 percent. Participates in Debate as an extracurricular activity.
Student S11031 named Kyle Hernandez, age 17, gender Male, is in Class 10. Scored 38 in Math, 96 in Science, 57 in English, 53 in History, and 47 in Computer, totaling 291 marks with Grade D. Attendance stands at 99.90 percent. Participates in Drama as an extracurricular activity.
Student S11036 named Melinda Lewis, age 17, gender Female, is in Class 10. Scored 33 in Math, 40 in Science, 70 in English, 73 in History, and 42 in Computer, totaling 258 marks with Grade D. Attendance stands at 77.03 percent. Participates in Drama as an extracurricular activity.
Student S11037 named David Fitzgerald, age 13, gender Female, is in Class 10. Scored 84 in Math, 96 in Science, 83 in English, 91 in History, and 67 in Computer, totaling 421 marks with Grade B. Attendance stands at 93.22 percent. Participates in Football as an extracurricular activity.
Student S11044 named Nathaniel Martin, age 12, gender Male, is in Class 10. Scored 33 in Math, 66 in Science, 62 in English, 50 in History, and 79 in Computer, totaling 290 marks with Grade D. Attendance stands at 88.21 percent. Participates in Drama as an extracurricular activity.
Student S11045 named Jonathan Long, age 11, gender Male, is in Class 10. Scored 86 in Math, 49 in Science, 44 in English, 96 in History, and 56 in Computer, totaling 331 marks with Grade C. Attendance stands at 71.91 percent. Participates in Music as an extracurricular activity.
Student S11054 named Jeffrey Castillo, age 10, gender Female, is in Class 10. Scored 36 in Math, 48 in Science, 76 in English, 53 in History, and 82 in Computer, totaling 295 marks with Grade D. Attendance stands at 76.66 percent. Participates in Debate as an extracurricular activity.
Student S11066 named Kevin Martinez, age 13, gender Male, is in Class 10. Scored 89 in Math, 77 in Science, 63 in English, 49 in History, and 60 in Computer, totaling 338 marks with Grade C. Attendance stands at 71.83 percent. Participates in None as an extracurricular activity.
Student S11085 named Claire Greene, age 14, gender Female, is in Class 10. Scored 45 in Math, 59 in Science, 80 in English, 97 in History, and 62 in Computer, totaling 343 marks with Grade C. Attendance stands at 74.96 percent. Participates in None as an extracurricular activity.
Student S11090 named Tyler Smith, age 16, gender Male, is in Class 10. Scored 72 in Math, 73 in Science, 75 in English, 99 in History, and 43 in Computer, totaling 362 marks with Grade C. Attendance stands at 71.43 percent. Participates in Football as an extracurricular activity.
Student S11103 named Jessica King, age 15, gender Male, is in Class 10. Scored 46 in Math, 65 in Science, 64 in English, 63 in History, and 81 in Computer, totaling 319 marks with Grade C. Attendance stands at 69.51 percent. Participates in Dance as an extracurricular activity.
Student S11107 named Robert Alvarado, age 13, gender Female, is in Class 10. Scored 66 in Math, 67 in Science, 58 in English, 75 in History, and 39 in Computer, totaling 305 marks with Grade C. Attendance stands at 97.67 percent. Participates in Music as an extracurricular activity.
Student S11108 named Michelle White, age 12, gender Male, is in Class 10. Scored 93 in Math, 96 in Science, 89 in English, 85 in History, and 61 in Computer, totaling 424 marks with Grade B. Attendance stands at 77.36 percent. Participates in None as an extracurricular activity.
Student S11122 named Nicole Lloyd, age 10, gender Female, is in Class 10. Scored 52 in Math, 35 in Science, 50 in English, 97 in History, and 48 in Computer, totaling 282 marks with Grade D. Attendance stands at 67.39 percent. Participates in None as an extracurricular activity.
Student S11125 named Ashley Moore, age 13, gender Male, is in Class 10. Scored 73 in Math, 54 in Science, 72 in English, 98 in History, and 41 in Computer, totaling 338 marks with Grade C. Attendance stands at 84.02 percent. Participates in Drama as an extracurricular activity.
Student S11138 named Melissa Hernandez, age 12, gender Male, is in Class 10. Scored 73 in Math, 41 in Science, 55 in English, 30 in History, and 53 in Computer, totaling 252 marks with Grade D. Attendance stands at 67.51 percent. Participates in Debate as an extracurricular activity.
Student S11147 named Amanda Murphy, age 17, gender Male, is in Class 10. Scored 88 in Math, 98 in Science, 56 in English, 46 in History, and 61 in Computer, totaling 349 marks with Grade C. Attendance stands at 66.76 percent. Participates in Football as an extracurricular activity.
