Student S10008 named Valerie Smith, age 16, gender Female, is in Class 5. Scored 31 in Math, 85 in Science, 42 in English, 73 in History, and 43 in Computer, totaling 274 marks with Grade D. Attendance stands at 81.02 percent. Participates in Debate as an extracurricular activity.
Student S11114 named Erin Strong, age 17, gender Male, is in Class 5. Scored 73 in Math, 35 in Science, 40 in English, 67 in History, and 98 in Computer, totaling 313 marks with Grade C. Attendance stands at 65.98 percent. Participates in None as an extracurricular activity.
Student S11123 named Pamela Ford, age 13, gender Female, is in Class 5. Scored 41 in Math, 77 in Science, 74 in English, 55 in History, and 51 in Computer, totaling 298 marks with Grade D. Attendance stands at 98.71 percent. Participates in Football as an extracurricular activity.
Student S11139 named Cynthia Carter, age 15, gender Male, is in Class 5. Scored 66 in Math, 51 in Science, 72 in English, 55 in History, and 54 in Computer, totaling 298 marks with Grade D. Attendance stands at 65.46 percent. Participates in Music as an extracurricular activity.
Student S11143 named Joshua Rodriguez, age 11, gender Female, is in Class 5. Scored 53 in Math, 48 in Science, 41 in English, 42 in History, and 30 in Computer, totaling 214 marks with Grade D. Attendance stands at 84.14 percent. Participates in None as an extracurricular activity.
Student S11157 named Jason Bailey, age 14, gender Male, is in Class 5. Scored 34 in Math, 69 in Science, 47 in English, 97 in History, and 45 in Computer, totaling 292 marks with Grade D. Attendance stands at 60.15 percent. Participates in None as an extracurricular activity.
Student S11163 named Janice Duke, age 10, gender Female, is in Class 5. Scored 40 in Math, 34 in Science, 33 in English, 55 in History, and 68 in Computer, totaling 230 marks with Grade D. Attendance stands at 88.40 percent. Participates in Football as an extracurricular activity.
Student S11174 named Tristan Anderson, age 12, gender Male, is in Class 5. Scored 90 in Math, 38 in Science, 44 in English, 83 in History, and 82 in Computer, totaling 337 marks with Grade C. Attendance stands at 93.74 percent. Participates in None as an extracurricular activity.
Student S11215 named Christopher Thomas, age 12, gender Female, is in Class 5. Scored 69 in Math, 35 in Science, 47 in English, 81 in History, and 34 in Computer, totaling 266 marks with Grade D. Attendance stands at 77.96 percent. Participates in Debate as an extracurricular activity.
Student S11217 named Michelle Marks, age 16, gender Female, is in Class 5. Scored 39 in Math, 52 in Science, 57 in English, 53 in History, and 86 in Computer, totaling 287 marks with Grade D. Attendance stands at 91.78 percent. Participates in Dance as an extracurricular activity.
Student S11218 named Timothy Lee, age 15, gender Female, is in Class 5. Scored 48 in Math, 47 in Science, 35 in English, 47 in History, and 79 in Computer, totaling 256 marks with Grade D. Attendance stands at 64.55 percent. Participates in Football as an extracurricular activity.
Student S11221 named Tara Walker, age 11, gender Female, is in Class 5. Scored 34 in Math, 85 in Science, 85 in English, 71 in History, and 73 in Computer, totaling 348 marks with Grade C. Attendance stands at 60.72 percent. Participates in Drama as an extracurricular activity.
Student S11228 named Michael Hernandez, age 15, gender Male, is in Class 5. Scored 75 in Math, 78 in Science, 71 in English, 99 in History, and 34 in Computer, totaling 357 marks with Grade C. Attendance stands at 91.99 percent. Participates in Debate as an extracurricular activity.
Student S11229 named Haley Robinson, age 15, gender Female, is in Class 5. Scored 47 in Math, 65 in Science, 74 in English, 49 in History, and 82 in Computer, totaling 317 marks with Grade C. Attendance stands at 60.11 percent. Participates in Dance as an extracurricular activity.
Student S11235 named Jason Harris MD, age 17, gender Male, is in Class 5. Scored 37 in Math, 53 in Science, 86 in English, 55 in History, and 78 in Computer, totaling 309 marks with Grade C. Attendance stands at 69.02 percent. Participates in Drama as an extracurricular activity.
Student S11236 named Darren Howard, age 11, gender Female, is in Class 5. Scored 40 in Math, 43 in Science, 85 in English, 83 in History, and 78 in Computer, totaling 329 marks with Grade C. Attendance stands at 88.64 percent. Participates in None as an extracurricular activity.
Student S11239 named Meghan Mitchell, age 16, gender Male, is in Class 5. Scored 71 in Math, 40 in Science, 68 in English, 36 in History, and 41 in Computer, totaling 256 marks with Grade D. Attendance stands at 62.79 percent. Participates in Music as an extracurricular activity.
Student S11246 named Elizabeth Harrington, age 15, gender Female, is in Class 5. Scored 48 in Math, 86 in Science, 66 in English, 89 in History, and 93 in Computer, totaling 382 marks with Grade C. Attendance stands at 94.87 percent. Participates in Music as an extracurricular activity.
Student S11279 named Mark Hampton, age 12, gender Female, is in Class 5. Scored 69 in Math, 79 in Science, 74 in English, 82 in History, and 48 in Computer, totaling 352 marks with Grade C. Attendance stands at 89.31 percent. Participates in Football as an extracurricular activity.
Student S11285 named James Warner, age 10, gender Female, is in Class 5. Scored 63 in Math, 54 in Science, 39 in English, 79 in History, and 68 in Computer, totaling 303 marks with Grade C. Attendance stands at 72.91 percent. Participates in Music as an extracurricular activity.
Student S11293 named Norma Hardy, age 16, gender Female, is in Class 5. Scored 62 in Math, 73 in Science, 81 in English, 77 in History, and 64 in Computer, totaling 357 marks with Grade C. Attendance stands at 92.58 percent. Participates in Debate as an extracurricular activity.
Student S11300 named Jay Nguyen, age 12, gender Female, is in Class 5. Scored 96 in Math, 96 in Science, 91 in English, 96 in History, and 64 in Computer, totaling 443 marks with Grade B. Attendance stands at 68.76 percent. Participates in None as an extracurricular activity.
Student S11309 named Melissa Moore, age 11, gender Male, is in Class 5. Scored 78 in Math, 48 in Science, 97 in English, 79 in History, and 60 in Computer, totaling 362 marks with Grade C. Attendance stands at 89.06 percent. Participates in None as an extracurricular activity.
Student S11315 named Mary Smith, age 11, gender Female, is in Class 5. Scored 49 in Math, 35 in Science, 40 in English, 77 in History, and 64 in Computer, totaling 265 marks with Grade D. Attendance stands at 65.23 percent. Participates in None as an extracurricular activity.
Student S11348 named Michael Watson, age 12, gender Female, is in Class 5. Scored 90 in Math, 71 in Science, 46 in English, 43 in History, and 48 in Computer, totaling 298 marks with Grade D. Attendance stands at 96.64 percent. Participates in Debate as an extracurricular activity.
Student S11351 named Morgan Li, age 11, gender Male, is in Class 5. Scored 92 in Math, 40 in Science, 68 in English, 36 in History, and 70 in Computer, totaling 306 marks with Grade C. Attendance stands at 89.72 percent. Participates in Debate as an extracurricular activity.
Student S11356 named Brandon White, age 15, gender Female, is in Class 5. Scored 62 in Math, 56 in Science, 59 in English, 86 in History, and 72 in Computer, totaling 335 marks with Grade C. Attendance stands at 75.57 percent. Participates in Football as an extracurricular activity.
Student S11365 named Susan Chandler, age 11, gender Male, is in Class 5. Scored 71 in Math, 61 in Science, 69 in English, 95 in History, and 49 in Computer, totaling 345 marks with Grade C. Attendance stands at 61.02 percent. Participates in None as an extracurricular activity.
Student S11367 named Joshua Hughes, age 10, gender Male, is in Class 5. Scored 32 in Math, 41 in Science, 36 in English, 73 in History, and 76 in Computer, totaling 258 marks with Grade D. Attendance stands at 86.73 percent. Participates in None as an extracurricular activity.
Student S11368 named Robert Smith, age 12, gender Male, is in Class 5. Scored 36 in Math, 48 in Science, 84 in English, 42 in History, and 36 in Computer, totaling 246 marks with Grade D. Attendance stands at 77.57 percent. Participates in Music as an extracurricular activity.
Student S11370 named Diana Brown, age 12, gender Male, is in Class 5. Scored 88 in Math, 99 in Science, 67 in English, 61 in History, and 74 in Computer, totaling 389 marks with Grade C. Attendance stands at 79.04 percent. Participates in Drama as an extracurricular activity.
Student S11371 named Thomas Price, age 15, gender Female, is in Class 5. Scored 41 in Math, 50 in Science, 35 in English, 46 in History, and 43 in Computer, totaling 215 marks with Grade D. Attendance stands at 61.20 percent. Participates in Debate as an extracurricular activity.
Student S11373 named Damon Moore, age 15, gender Male, is in Class 5. Scored 35 in Math, 76 in Science, 48 in English, 36 in History, and 62 in Computer, totaling 257 marks with Grade D. Attendance stands at 60.79 percent. Participates in None as an extracurricular activity.
Student S11380 named Richard Garner, age 16, gender Female, is in Class 5. Scored 49 in Math, 94 in Science, 85 in English, 90 in History, and 70 in Computer, totaling 388 marks with Grade C. Attendance stands at 70.03 percent. Participates in Football as an extracurricular activity.
Student S11381 named Christine Terrell, age 12, gender Male, is in Class 5. Scored 71 in Math, 33 in Science, 98 in English, 44 in History, and 94 in Computer, totaling 340 marks with Grade C. Attendance stands at 88.47 percent. Participates in Debate as an extracurricular activity.
Student S11385 named Joshua Schultz, age 12, gender Male, is in Class 5. Scored 73 in Math, 59 in Science, 37 in English, 51 in History, and 79 in Computer, totaling 299 marks with Grade D. Attendance stands at 85.68 percent. Participates in None as an extracurricular activity.
Student S11390 named Anthony Russell, age 17, gender Female, is in Class 5. Scored 61 in Math, 78 in Science, 65 in English, 31 in History, and 75 in Computer, totaling 310 marks with Grade C. Attendance stands at 65.76 percent. Participates in Football as an extracurricular activity.
Student S11404 named Mr. Thomas Day, age 13, gender Male, is in Class 5. Scored 78 in Math, 41 in Science, 69 in English, 97 in History, and 70 in Computer, totaling 355 marks with Grade C. Attendance stands at 61.67 percent. Participates in Music as an extracurricular activity.
Student S11405 named Rachel Dixon, age 17, gender Female, is in Class 5. Scored 37 in Math, 51 in Science, 93 in English, 84 in History, and 87 in Computer, totaling 352 marks with Grade C. Attendance stands at 82.99 percent. Participates in Music as an extracurricular activity.
Student S11406 named Christina Lewis, age 16, gender Female, is in Class 5. Scored 51 in Math, 52 in Science, 54 in English, 77 in History, and 89 in Computer, totaling 323 marks with Grade C. Attendance stands at 79.80 percent. Participates in Drama as an extracurricular activity.
Student S11421 named Isabella Sparks, age 15, gender Female, is in Class 5. Scored 47 in Math, 59 in Science, 62 in English, 75 in History, and 84 in Computer, totaling 327 marks with Grade C. Attendance stands at 69.51 percent. Participates in Football as an extracurricular activity.
Student S11457 named Tyler Jensen, age 10, gender Male, is in Class 5. Scored 90 in Math, 35 in Science, 63 in English, 91 in History, and 44 in Computer, totaling 323 marks with Grade C. Attendance stands at 70.31 percent. Participates in Music as an extracurricular activity.
