Student S10001 named Rebecca Vargas, age 15, gender Male, is in Class 8. Scored 40 in Math, 94 in Science, 42 in English, 66 in History, and 70 in Computer, totaling 312 marks with Grade C. Attendance stands at 69.78 percent. Participates in Drama as an extracurricular activity.
Student S10989 named Joshua Sullivan, age 14, gender Male, is in Class 8. Scored 35 in Math, 86 in Science, 92 in English, 62 in History, and 81 in Computer, totaling 356 marks with Grade C. Attendance stands at 91.37 percent. Participates in None as an extracurricular activity.
Student S10992 named Brian Cruz, age 11, gender Male, is in Class 8. Scored 78 in Math, 77 in Science, 92 in English, 45 in History, and 41 in Computer, totaling 333 marks with Grade C. Attendance stands at 94.83 percent. Participates in Dance as an extracurricular activity.
Student S10993 named Holly Adams, age 10, gender Male, is in Class 8. Scored 30 in Math, 98 in Science, 75 in English, 52 in History, and 38 in Computer, totaling 293 marks with Grade D. Attendance stands at 71.87 percent. Participates in Music as an extracurricular activity.
Student S11000 named Jill Smith, age 13, gender Female, is in Class 8. Scored 58 in Math, 47 in Science, 92 in English, 53 in History, and 52 in Computer, totaling 302 marks with Grade C. Attendance stands at 99.30 percent. Participates in Drama as an extracurricular activity.
Student S11014 named Courtney Burch, age 12, gender Female, is in Class 8. Scored 60 in Math, 58 in Science, 45 in English, 69 in History, and 89 in Computer, totaling 321 marks with Grade C. Attendance stands at 93.96 percent. Participates in Debate as an extracurricular activity.
Student S11015 named Sarah Brady, age 14, gender Male, is in Class 8. Scored 84 in Math, 49 in Science, 57 in English, 32 in History, and 71 in Computer, totaling 293 marks with Grade D. Attendance stands at 62.07 percent. Participates in Drama as an extracurricular activity.
Student S11020 named Alexandra Ware, age 15, gender Female, is in Class 8. Scored 63 in Math, 44 in Science, 47 in English, 84 in History, and 80 in Computer, totaling 318 marks with Grade C. Attendance stands at 68.95 percent. Participates in Music as an extracurricular activity.
Student S11025 named Charles Herring, age 15, gender Female, is in Class 8. Scored 36 in Math, 64 in Science, 91 in English, 52 in History, and 41 in Computer, totaling 284 marks with Grade D. Attendance stands at 67.23 percent. Participates in Debate as an extracurricular activity.
Student S11043 named Justin Bishop, age 11, gender Female, is in Class 8. Scored 82 in Math, 59 in Science, 48 in English, 76 in History, and 51 in Computer, totaling 316 marks with Grade C. Attendance stands at 65.92 percent. Participates in None as an extracurricular activity.
Student S11063 named Tiffany Perez, age 13, gender Female, is in Class 8. Scored 58 in Math, 32 in Science, 63 in English, 83 in History, and 63 in Computer, totaling 299 marks with Grade D. Attendance stands at 74.74 percent. Participates in Drama as an extracurricular activity.
Student S11070 named Anthony Goodwin, age 13, gender Male, is in Class 8. Scored 90 in Math, 38 in Science, 35 in English, 81 in History, and 53 in Computer, totaling 297 marks with Grade D. Attendance stands at 76.52 percent. Participates in Dance as an extracurricular activity.
Student S11079 named Jessica Reed, age 11, gender Female, is in Class 8. Scored 84 in Math, 81 in Science, 60 in English, 35 in History, and 68 in Computer, totaling 328 marks with Grade C. Attendance stands at 90.81 percent. Participates in Dance as an extracurricular activity.
Student S11082 named Ryan Green, age 14, gender Male, is in Class 8. Scored 33 in Math, 46 in Science, 31 in English, 51 in History, and 94 in Computer, totaling 255 marks with Grade D. Attendance stands at 95.97 percent. Participates in Dance as an extracurricular activity.
Student S11083 named Pedro Lyons, age 10, gender Female, is in Class 8. Scored 51 in Math, 74 in Science, 38 in English, 92 in History, and 79 in Computer, totaling 334 marks with Grade C. Attendance stands at 62.11 percent. Participates in Debate as an extracurricular activity.
Student S11092 named Stephanie Henry, age 14, gender Male, is in Class 8. Scored 93 in Math, 73 in Science, 66 in English, 92 in History, and 46 in Computer, totaling 370 marks with Grade C. Attendance stands at 80.66 percent. Participates in None as an extracurricular activity.
Student S11127 named Ashley Henson, age 10, gender Male, is in Class 8. Scored 59 in Math, 52 in Science, 82 in English, 57 in History, and 69 in Computer, totaling 319 marks with Grade C. Attendance stands at 86.35 percent. Participates in Dance as an extracurricular activity.
Student S11134 named Andrea Anderson, age 13, gender Female, is in Class 8. Scored 50 in Math, 46 in Science, 94 in English, 91 in History, and 84 in Computer, totaling 365 marks with Grade C. Attendance stands at 69.88 percent. Participates in Music as an extracurricular activity.
Student S11148 named Joe Byrd, age 10, gender Female, is in Class 8. Scored 59 in Math, 64 in Science, 48 in English, 44 in History, and 86 in Computer, totaling 301 marks with Grade C. Attendance stands at 86.93 percent. Participates in Dance as an extracurricular activity.
Student S11169 named Kristina Perez, age 14, gender Male, is in Class 8. Scored 91 in Math, 35 in Science, 87 in English, 48 in History, and 64 in Computer, totaling 325 marks with Grade C. Attendance stands at 68.84 percent. Participates in Football as an extracurricular activity.
Student S11170 named Jenna Smith, age 15, gender Male, is in Class 8. Scored 62 in Math, 48 in Science, 30 in English, 83 in History, and 38 in Computer, totaling 261 marks with Grade D. Attendance stands at 63.08 percent. Participates in Drama as an extracurricular activity.
Student S11173 named Bethany Grant, age 13, gender Female, is in Class 8. Scored 92 in Math, 56 in Science, 79 in English, 51 in History, and 86 in Computer, totaling 364 marks with Grade C. Attendance stands at 81.54 percent. Participates in Football as an extracurricular activity.
Student S11175 named Brian Bryant, age 10, gender Male, is in Class 8. Scored 97 in Math, 39 in Science, 56 in English, 30 in History, and 95 in Computer, totaling 317 marks with Grade C. Attendance stands at 70.90 percent. Participates in None as an extracurricular activity.
Student S11180 named Sarah Gibson, age 13, gender Female, is in Class 8. Scored 36 in Math, 66 in Science, 54 in English, 52 in History, and 44 in Computer, totaling 252 marks with Grade D. Attendance stands at 82.25 percent. Participates in Music as an extracurricular activity.
Student S11187 named Alicia Hill, age 14, gender Female, is in Class 8. Scored 40 in Math, 79 in Science, 87 in English, 84 in History, and 80 in Computer, totaling 370 marks with Grade C. Attendance stands at 64.59 percent. Participates in Dance as an extracurricular activity.
Student S11200 named Breanna Farrell, age 17, gender Female, is in Class 8. Scored 98 in Math, 53 in Science, 35 in English, 71 in History, and 99 in Computer, totaling 356 marks with Grade C. Attendance stands at 68.88 percent. Participates in Drama as an extracurricular activity.
Student S11202 named Sandra Carter, age 11, gender Female, is in Class 8. Scored 68 in Math, 59 in Science, 59 in English, 61 in History, and 89 in Computer, totaling 336 marks with Grade C. Attendance stands at 81.61 percent. Participates in None as an extracurricular activity.
Student S11216 named Daniel Bullock, age 15, gender Male, is in Class 8. Scored 60 in Math, 63 in Science, 32 in English, 80 in History, and 50 in Computer, totaling 285 marks with Grade D. Attendance stands at 62.19 percent. Participates in Drama as an extracurricular activity.
Student S11219 named Susan Reyes, age 17, gender Male, is in Class 8. Scored 52 in Math, 99 in Science, 39 in English, 50 in History, and 48 in Computer, totaling 288 marks with Grade D. Attendance stands at 74.61 percent. Participates in Dance as an extracurricular activity.
Student S11231 named Adam Rose, age 17, gender Female, is in Class 8. Scored 73 in Math, 51 in Science, 86 in English, 32 in History, and 87 in Computer, totaling 329 marks with Grade C. Attendance stands at 91.20 percent. Participates in Football as an extracurricular activity.
Student S11245 named Tina Gates, age 10, gender Female, is in Class 8. Scored 43 in Math, 50 in Science, 68 in English, 35 in History, and 55 in Computer, totaling 251 marks with Grade D. Attendance stands at 96.19 percent. Participates in Debate as an extracurricular activity.
Student S11247 named Samuel Lowe, age 13, gender Female, is in Class 8. Scored 88 in Math, 40 in Science, 67 in English, 36 in History, and 48 in Computer, totaling 279 marks with Grade D. Attendance stands at 71.73 percent. Participates in Debate as an extracurricular activity.
Student S11253 named Sharon Davis, age 11, gender Female, is in Class 8. Scored 53 in Math, 89 in Science, 69 in English, 61 in History, and 85 in Computer, totaling 357 marks with Grade C. Attendance stands at 86.14 percent. Participates in Dance as an extracurricular activity.
Student S11269 named Tyler Liu, age 15, gender Male, is in Class 8. Scored 72 in Math, 64 in Science, 86 in English, 67 in History, and 35 in Computer, totaling 324 marks with Grade C. Attendance stands at 92.41 percent. Participates in None as an extracurricular activity.
Student S11270 named Jessica Zimmerman, age 13, gender Male, is in Class 8. Scored 90 in Math, 92 in Science, 80 in English, 61 in History, and 59 in Computer, totaling 382 marks with Grade C. Attendance stands at 89.10 percent. Participates in Music as an extracurricular activity.
Student S11280 named Stephanie Taylor, age 17, gender Male, is in Class 8. Scored 71 in Math, 65 in Science, 42 in English, 83 in History, and 31 in Computer, totaling 292 marks with Grade D. Attendance stands at 66.83 percent. Participates in Music as an extracurricular activity.
Student S11283 named Tony Hutchinson, age 13, gender Male, is in Class 8. Scored 33 in Math, 41 in Science, 67 in English, 67 in History, and 58 in Computer, totaling 266 marks with Grade D. Attendance stands at 81.22 percent. Participates in Music as an extracurricular activity.
Student S11286 named Edward Roach, age 14, gender Female, is in Class 8. Scored 49 in Math, 64 in Science, 71 in English, 81 in History, and 73 in Computer, totaling 338 marks with Grade C. Attendance stands at 82.84 percent. Participates in Football as an extracurricular activity.
Student S11291 named Johnny Powers, age 10, gender Female, is in Class 8. Scored 70 in Math, 56 in Science, 57 in English, 68 in History, and 65 in Computer, totaling 316 marks with Grade C. Attendance stands at 93.71 percent. Participates in Dance as an extracurricular activity.
Student S11296 named Ryan Mason, age 11, gender Female, is in Class 8. Scored 48 in Math, 98 in Science, 54 in English, 79 in History, and 97 in Computer, totaling 376 marks with Grade C. Attendance stands at 67.60 percent. Participates in Debate as an extracurricular activity.
Student S11299 named Sandra Perez, age 17, gender Female, is in Class 8. Scored 31 in Math, 99 in Science, 36 in English, 79 in History, and 41 in Computer, totaling 286 marks with Grade D. Attendance stands at 88.50 percent. Participates in Drama as an extracurricular activity.
Student S11306 named Margaret Hickman, age 10, gender Female, is in Class 8. Scored 85 in Math, 93 in Science, 36 in English, 97 in History, and 58 in Computer, totaling 369 marks with Grade C. Attendance stands at 60.33 percent. Participates in Football as an extracurricular activity.
