Student S10000 named Brianna Smith, age 16, gender Female, is in Class 12. Scored 47 in Math, 85 in Science, 67 in English, 68 in History, and 81 in Computer, totaling 348 marks with Grade C. Attendance stands at 61.70 percent. Participates in None as an extracurricular activity.
Student S10872 named Mark Anderson, age 15, gender Female, is in Class 12. Scored 43 in Math, 62 in Science, 47 in English, 75 in History, and 35 in Computer, totaling 262 marks with Grade D. Attendance stands at 85.56 percent. Participates in Dance as an extracurricular activity.
Student S10873 named Mary Reeves, age 11, gender Female, is in Class 12. Scored 61 in Math, 88 in Science, 33 in English, 85 in History, and 54 in Computer, totaling 321 marks with Grade C. Attendance stands at 86.02 percent. Participates in None as an extracurricular activity.
Student S10883 named Valerie Lawrence, age 17, gender Female, is in Class 12. Scored 44 in Math, 45 in Science, 38 in English, 61 in History, and 51 in Computer, totaling 239 marks with Grade D. Attendance stands at 68.91 percent. Participates in Music as an extracurricular activity.
Student S10884 named Jean Owens, age 10, gender Male, is in Class 12. Scored 54 in Math, 99 in Science, 65 in English, 57 in History, and 74 in Computer, totaling 349 marks with Grade C. Attendance stands at 67.00 percent. Participates in Dance as an extracurricular activity.
Student S10887 named Emily Delacruz, age 17, gender Male, is in Class 12. Scored 88 in Math, 64 in Science, 98 in English, 82 in History, and 65 in Computer, totaling 397 marks with Grade C. Attendance stands at 95.01 percent. Participates in Football as an extracurricular activity.
Student S10897 named Jessica Rodriguez, age 13, gender Male, is in Class 12. Scored 69 in Math, 61 in Science, 32 in English, 57 in History, and 45 in Computer, totaling 264 marks with Grade D. Attendance stands at 87.03 percent. Participates in Drama as an extracurricular activity.
Student S10901 named Ernest Chen, age 12, gender Male, is in Class 12. Scored 53 in Math, 33 in Science, 96 in English, 50 in History, and 43 in Computer, totaling 275 marks with Grade D. Attendance stands at 63.29 percent. Participates in Football as an extracurricular activity.
Student S10914 named Stacie Patterson, age 11, gender Female, is in Class 12. Scored 53 in Math, 46 in Science, 50 in English, 72 in History, and 66 in Computer, totaling 287 marks with Grade D. Attendance stands at 61.09 percent. Participates in Football as an extracurricular activity.
Student S10919 named Kari Bush MD, age 16, gender Female, is in Class 12. Scored 62 in Math, 94 in Science, 89 in English, 35 in History, and 69 in Computer, totaling 349 marks with Grade C. Attendance stands at 72.39 percent. Participates in Debate as an extracurricular activity.
Student S10924 named Amy Sheppard, age 14, gender Male, is in Class 12. Scored 72 in Math, 44 in Science, 50 in English, 70 in History, and 86 in Computer, totaling 322 marks with Grade C. Attendance stands at 94.86 percent. Participates in Music as an extracurricular activity.
Student S10946 named Sandra Garcia, age 12, gender Female, is in Class 12. Scored 59 in Math, 80 in Science, 38 in English, 41 in History, and 90 in Computer, totaling 308 marks with Grade C. Attendance stands at 74.89 percent. Participates in Drama as an extracurricular activity.
Student S10948 named Robert Perry, age 14, gender Male, is in Class 12. Scored 89 in Math, 52 in Science, 84 in English, 55 in History, and 41 in Computer, totaling 321 marks with Grade C. Attendance stands at 85.41 percent. Participates in Dance as an extracurricular activity.
Student S10949 named Joseph Waters, age 13, gender Male, is in Class 12. Scored 45 in Math, 85 in Science, 37 in English, 69 in History, and 64 in Computer, totaling 300 marks with Grade D. Attendance stands at 82.07 percent. Participates in Music as an extracurricular activity.
Student S10965 named Robert Gibson, age 11, gender Male, is in Class 12. Scored 57 in Math, 62 in Science, 56 in English, 72 in History, and 96 in Computer, totaling 343 marks with Grade C. Attendance stands at 92.78 percent. Participates in Music as an extracurricular activity.
Student S10974 named Edward Russell, age 12, gender Female, is in Class 12. Scored 58 in Math, 73 in Science, 47 in English, 54 in History, and 37 in Computer, totaling 269 marks with Grade D. Attendance stands at 66.05 percent. Participates in Music as an extracurricular activity.
Student S10979 named Billy Garcia, age 10, gender Male, is in Class 12. Scored 84 in Math, 50 in Science, 79 in English, 68 in History, and 47 in Computer, totaling 328 marks with Grade C. Attendance stands at 91.55 percent. Participates in Football as an extracurricular activity.
Student S10982 named Cynthia Garcia, age 13, gender Female, is in Class 12. Scored 65 in Math, 42 in Science, 91 in English, 67 in History, and 54 in Computer, totaling 319 marks with Grade C. Attendance stands at 95.86 percent. Participates in Football as an extracurricular activity.
Student S10991 named Samuel Goodwin, age 14, gender Female, is in Class 12. Scored 66 in Math, 49 in Science, 46 in English, 31 in History, and 56 in Computer, totaling 248 marks with Grade D. Attendance stands at 77.19 percent. Participates in Debate as an extracurricular activity.
Student S10994 named Marvin Barry, age 13, gender Male, is in Class 12. Scored 66 in Math, 73 in Science, 95 in English, 80 in History, and 37 in Computer, totaling 351 marks with Grade C. Attendance stands at 69.83 percent. Participates in None as an extracurricular activity.
Student S10995 named Tanya Ortiz, age 14, gender Male, is in Class 12. Scored 63 in Math, 97 in Science, 54 in English, 48 in History, and 81 in Computer, totaling 343 marks with Grade C. Attendance stands at 62.55 percent. Participates in Football as an extracurricular activity.
Student S11002 named Lucas Walters, age 11, gender Female, is in Class 12. Scored 82 in Math, 30 in Science, 57 in English, 73 in History, and 77 in Computer, totaling 319 marks with Grade C. Attendance stands at 66.01 percent. Participates in None as an extracurricular activity.
Student S11007 named Bethany Price, age 12, gender Female, is in Class 12. Scored 90 in Math, 90 in Science, 43 in English, 42 in History, and 71 in Computer, totaling 336 marks with Grade C. Attendance stands at 60.86 percent. Participates in Football as an extracurricular activity.
Student S11010 named Daniel Martin, age 10, gender Female, is in Class 12. Scored 41 in Math, 42 in Science, 81 in English, 91 in History, and 78 in Computer, totaling 333 marks with Grade C. Attendance stands at 81.78 percent. Participates in Football as an extracurricular activity.
Student S11017 named Susan Guerrero, age 16, gender Male, is in Class 12. Scored 33 in Math, 59 in Science, 63 in English, 67 in History, and 82 in Computer, totaling 304 marks with Grade C. Attendance stands at 84.39 percent. Participates in Music as an extracurricular activity.
Student S11019 named William Palmer, age 14, gender Male, is in Class 12. Scored 77 in Math, 59 in Science, 43 in English, 72 in History, and 36 in Computer, totaling 287 marks with Grade D. Attendance stands at 86.41 percent. Participates in Music as an extracurricular activity.
Student S11023 named Sarah Brooks, age 11, gender Male, is in Class 12. Scored 83 in Math, 62 in Science, 73 in English, 39 in History, and 79 in Computer, totaling 336 marks with Grade C. Attendance stands at 86.99 percent. Participates in Music as an extracurricular activity.
Student S11033 named Lauren Harris, age 15, gender Female, is in Class 12. Scored 33 in Math, 34 in Science, 94 in English, 55 in History, and 73 in Computer, totaling 289 marks with Grade D. Attendance stands at 87.55 percent. Participates in None as an extracurricular activity.
Student S11034 named Jamie Smith, age 10, gender Female, is in Class 12. Scored 33 in Math, 60 in Science, 92 in English, 71 in History, and 38 in Computer, totaling 294 marks with Grade D. Attendance stands at 95.65 percent. Participates in Dance as an extracurricular activity.
Student S11039 named Michelle Black, age 15, gender Male, is in Class 12. Scored 33 in Math, 47 in Science, 63 in English, 98 in History, and 39 in Computer, totaling 280 marks with Grade D. Attendance stands at 80.06 percent. Participates in Football as an extracurricular activity.
Student S11041 named Cynthia Hunter, age 17, gender Male, is in Class 12. Scored 74 in Math, 76 in Science, 66 in English, 47 in History, and 51 in Computer, totaling 314 marks with Grade C. Attendance stands at 80.68 percent. Participates in Football as an extracurricular activity.
Student S11048 named John Dudley, age 16, gender Male, is in Class 12. Scored 46 in Math, 49 in Science, 43 in English, 58 in History, and 40 in Computer, totaling 236 marks with Grade D. Attendance stands at 88.39 percent. Participates in Debate as an extracurricular activity.
Student S11057 named Don Butler, age 11, gender Male, is in Class 12. Scored 56 in Math, 54 in Science, 98 in English, 49 in History, and 67 in Computer, totaling 324 marks with Grade C. Attendance stands at 71.56 percent. Participates in None as an extracurricular activity.
Student S11060 named Danny Hensley, age 12, gender Female, is in Class 12. Scored 38 in Math, 66 in Science, 30 in English, 65 in History, and 94 in Computer, totaling 293 marks with Grade D. Attendance stands at 83.28 percent. Participates in Drama as an extracurricular activity.
Student S11067 named Mark Mcdonald, age 13, gender Male, is in Class 12. Scored 61 in Math, 95 in Science, 85 in English, 79 in History, and 46 in Computer, totaling 366 marks with Grade C. Attendance stands at 89.39 percent. Participates in Music as an extracurricular activity.
Student S11071 named Susan Thompson, age 12, gender Male, is in Class 12. Scored 56 in Math, 32 in Science, 77 in English, 98 in History, and 41 in Computer, totaling 304 marks with Grade C. Attendance stands at 69.35 percent. Participates in Dance as an extracurricular activity.
Student S11076 named Erin Le, age 12, gender Female, is in Class 12. Scored 71 in Math, 30 in Science, 71 in English, 86 in History, and 79 in Computer, totaling 337 marks with Grade C. Attendance stands at 72.09 percent. Participates in Music as an extracurricular activity.
Student S11080 named Kari Brandt, age 16, gender Male, is in Class 12. Scored 45 in Math, 40 in Science, 84 in English, 97 in History, and 78 in Computer, totaling 344 marks with Grade C. Attendance stands at 61.43 percent. Participates in Dance as an extracurricular activity.
Student S11087 named Kathy Lambert, age 10, gender Male, is in Class 12. Scored 39 in Math, 56 in Science, 76 in English, 87 in History, and 77 in Computer, totaling 335 marks with Grade C. Attendance stands at 69.76 percent. Participates in Debate as an extracurricular activity.
Student S11091 named Andrew Kim, age 13, gender Male, is in Class 12. Scored 33 in Math, 74 in Science, 86 in English, 76 in History, and 98 in Computer, totaling 367 marks with Grade C. Attendance stands at 84.22 percent. Participates in Drama as an extracurricular activity.
Student S11095 named Elizabeth Wolf, age 11, gender Female, is in Class 12. Scored 84 in Math, 87 in Science, 52 in English, 51 in History, and 38 in Computer, totaling 312 marks with Grade C. Attendance stands at 87.46 percent. Participates in Football as an extracurricular activity.
